evo,enemy,run,generation,individual,fitness,playerHealth,enemyHealth,time
0,2,0,0,0,0.0,0,100.0,189
0,2,0,0,1,0.0,0,100.0,325
0,2,0,0,2,0.0,0,100.0,329
0,2,0,0,3,0.0,0,100.0,322
0,2,0,0,4,0.0,0,100.0,318
0,2,0,0,5,0.0,0,100.0,325
0,2,0,0,6,0.0,0,100.0,329
0,2,0,0,7,0.0,0,100.0,325
0,2,0,0,8,79.91414025327582,30,0.0,195
0,2,0,0,9,0.0,0,90.0,213
0,2,0,0,10,0.0,0,100.0,325
0,2,0,0,11,0.0,0,100.0,258
0,2,0,0,12,0.0,0,100.0,329
0,2,0,0,13,0.0,0,100.0,329
0,2,0,0,14,0.0,0,100.0,325
0,2,0,0,15,0.0,0,70.0,214
0,2,0,0,16,0.0,0,80.0,329
0,2,0,0,17,0.0,0,100.0,329
0,2,0,0,18,0.0,0,100.0,731
0,2,0,0,19,0.0,0,90.0,347
0,2,0,0,20,0.0,0,100.0,325
0,2,0,0,21,0.0,0,90.0,329
0,2,0,0,22,0.0,0,100.0,342
0,2,0,0,23,0.0,0,50.0,329
0,2,0,0,24,0.0,0,100.0,360
0,2,0,0,25,0.0,0,100.0,302
0,2,0,0,26,0.0,0,100.0,325
0,2,0,0,27,0.0,0,100.0,323
0,2,0,0,28,0.0,0,100.0,328
0,2,0,0,29,0.0,0,100.0,321
0,2,0,0,30,0.0,0,90.0,329
0,2,0,0,31,0.0,0,100.0,325
0,2,0,0,32,0.0,0,100.0,325
0,2,0,0,33,0.0,0,80.0,143
0,2,0,0,34,0.0,0,40.0,240
0,2,0,0,35,0.0,0,100.0,329
0,2,0,0,36,0.0,0,100.0,357
0,2,0,0,37,0.0,0,100.0,380
0,2,0,0,38,0.0,0,100.0,329
0,2,0,0,39,0.0,0,100.0,329
0,2,0,0,40,0.0,0,100.0,329
0,2,0,0,41,0.0,0,100.0,329
0,2,0,0,42,0.0,0,100.0,329
0,2,0,0,43,0.0,0,100.0,329
0,2,0,0,44,0.0,0,100.0,360
0,2,0,0,45,0.0,0,70.0,167
0,2,0,0,46,71.67986479803766,14,0.0,195
0,2,0,0,47,0.0,0,100.0,329
0,2,0,0,48,0.0,0,100.0,325
0,2,0,0,49,0.0,0,80.0,322
0,2,0,0,50,0.0,0,90.0,329
0,2,0,0,51,0.0,0,100.0,360
0,2,0,0,52,0.0,0,100.0,319
0,2,0,0,53,83.50547325098968,36,0.0,148
0,2,0,0,54,0.0,0,100.0,329
0,2,0,0,55,0.0,0,100.0,318
0,2,0,0,56,0.0,0,100.0,355
0,2,0,0,57,0.0,0,100.0,322
0,2,0,0,58,90.7506824747706,72,0.0,185
0,2,0,0,59,0.0,0,100.0,353
0,2,0,0,60,0.0,0,100.0,329
0,2,0,0,61,0.0,0,60.0,329
0,2,0,0,62,0.0,0,100.0,325
0,2,0,0,63,0.0,0,100.0,360
0,2,0,0,64,0.0,0,100.0,329
0,2,0,0,65,0.0,0,100.0,329
0,2,0,0,66,0.0,0,100.0,325
0,2,0,0,67,0.0,0,90.0,365
0,2,0,0,68,0.0,0,40.0,159
0,2,0,0,69,0.0,0,100.0,325
0,2,0,0,70,0.0,0,80.0,306
0,2,0,0,71,0.0,0,100.0,329
0,2,0,0,72,0.0,0,100.0,347
0,2,0,0,73,0.0,0,100.0,340
0,2,0,0,74,0.0,0,50.0,219
0,2,0,0,75,0.0,0,90.0,178
0,2,0,0,76,0.0,0,100.0,325
0,2,0,0,77,0.0,0,100.0,321
0,2,0,0,78,0.0,0,100.0,327
0,2,0,0,79,60.58772849975855,30,0.0,733
0,2,0,0,80,0.0,0,100.0,370
0,2,0,0,81,0.0,0,100.0,329
0,2,0,0,82,76.46503830360567,22,0.0,195
0,2,0,0,83,0.0,0,70.0,240
0,2,0,0,84,0.0,0,100.0,329
0,2,0,0,85,0.0,0,100.0,329
0,2,0,0,86,0.0,0,100.0,329
0,2,0,0,87,63.14159658706265,6,0.0,206
0,2,0,0,88,0.0,0,80.0,311
0,2,0,0,89,66.8437871872029,10,0.0,245
0,2,0,0,90,0.0,0,90.0,281
0,2,0,0,91,52.49527598775212,2,0.0,260
0,2,0,0,92,0.0,0,100.0,329
0,2,0,0,93,0.0,0,100.0,256
0,2,0,0,94,0.0,0,100.0,329
0,2,0,0,95,0.0,0,100.0,360
0,2,0,0,96,0.0,0,100.0,325
0,2,0,0,97,0.0,0,80.0,256
0,2,0,0,98,0.0,0,100.0,321
0,2,0,0,99,83.2905416895859,46,0.0,243
0,2,0,1,0,52.49527598775212,2,0.0,260
0,2,0,1,1,0.0,0,100.0,189
0,2,0,1,2,52.49527598775212,2,0.0,260
0,2,0,1,3,0.0,0,100.0,189
0,2,0,1,4,0.0,0,100.0,189
0,2,0,1,5,0.0,0,100.0,189
0,2,0,1,6,0.0,0,100.0,189
0,2,0,1,7,0.0,0,100.0,189
0,2,0,1,8,52.49527598775212,2,0.0,260
0,2,0,1,9,0.0,0,100.0,189
0,2,0,1,10,0.0,0,100.0,189
0,2,0,1,11,0.0,0,100.0,189
0,2,0,1,12,71.67986479803766,14,0.0,195
0,2,0,1,13,0.0,0,100.0,189
0,2,0,1,14,52.49527598775212,2,0.0,260
0,2,0,1,15,83.2905416895859,46,0.0,243
0,2,0,1,16,0.0,0,100.0,189
0,2,0,1,17,0.0,0,100.0,189
0,2,0,1,18,71.67986479803766,14,0.0,195
0,2,0,1,19,0.0,0,100.0,189
0,2,0,1,20,0.0,0,100.0,189
0,2,0,1,21,0.0,0,100.0,189
0,2,0,1,22,66.8437871872029,10,0.0,245
0,2,0,1,23,0.0,0,100.0,189
0,2,0,1,24,83.2905416895859,46,0.0,243
0,2,0,1,25,0.0,0,100.0,189
0,2,0,1,26,79.91414025327582,30,0.0,195
0,2,0,1,27,0.0,0,100.0,189
0,2,0,1,28,0.0,0,100.0,189
0,2,0,1,29,60.58772849975855,30,0.0,733
0,2,0,1,30,0.0,0,100.0,189
0,2,0,1,31,52.49527598775212,2,0.0,260
0,2,0,1,32,0.0,0,100.0,189
0,2,0,1,33,0.0,0,100.0,189
0,2,0,1,34,0.0,0,100.0,189
0,2,0,1,35,79.91414025327582,30,0.0,195
0,2,0,1,36,0.0,0,90.0,329
0,2,0,1,37,0.0,0,70.0,193
0,2,0,1,38,0.0,0,50.0,312
0,2,0,1,39,0.0,0,100.0,329
0,2,0,1,40,0.0,0,10.0,300
0,2,0,1,41,0.0,0,30.0,193
0,2,0,1,42,0.0,0,100.0,329
0,2,0,1,43,0.0,0,100.0,258
0,2,0,1,44,0.0,0,100.0,329
0,2,0,1,45,0.0,0,40.0,327
0,2,0,1,46,0.0,0,100.0,352
0,2,0,1,47,0.0,0,100.0,203
0,2,0,1,48,0.0,0,100.0,325
0,2,0,1,49,89.90103749806096,64,0.0,166
0,2,0,1,50,0.0,0,100.0,360
0,2,0,1,51,0.0,0,100.0,360
0,2,0,1,52,0.0,0,100.0,253
0,2,0,1,53,0.0,0,100.0,160
0,2,0,1,54,76.46503830360567,22,0.0,195
0,2,0,1,55,0.0,0,100.0,329
0,2,0,1,56,0.0,0,60.0,357
0,2,0,1,57,0.0,0,100.0,334
0,2,0,1,58,0.0,0,80.0,256
0,2,0,1,59,0.0,0,100.0,329
0,2,0,1,60,0.0,0,40.0,733
0,2,0,1,61,0.0,0,90.0,155
0,2,0,1,62,52.95907322360328,2,0.0,241
0,2,0,1,63,0.0,0,100.0,329
0,2,0,1,64,0.0,0,100.0,360
0,2,0,1,65,0.0,0,100.0,322
0,2,0,1,66,82.55338527615841,36,0.0,178
0,2,0,1,67,0.0,0,90.0,292
0,2,0,1,68,0.0,0,100.0,158
0,2,0,1,69,0.0,0,80.0,322
0,2,0,1,70,0.0,0,100.0,325
0,2,0,1,71,0.0,0,100.0,329
0,2,0,1,72,0.0,0,50.0,256
0,2,0,1,73,0.0,0,100.0,360
0,2,0,1,74,0.0,0,100.0,325
0,2,0,1,75,0.0,0,100.0,752
0,2,0,1,76,0.0,0,100.0,325
0,2,0,1,77,0.0,0,100.0,329
0,2,0,1,78,0.0,0,100.0,329
0,2,0,1,79,0.0,0,100.0,339
0,2,0,1,80,70.11146144373004,12,0.0,195
0,2,0,1,81,0.0,0,100.0,374
0,2,0,1,82,0.0,0,100.0,329
0,2,0,1,83,79.91414025327582,30,0.0,195
0,2,0,1,84,0.0,0,100.0,329
0,2,0,1,85,0.0,0,30.0,243
0,2,0,1,86,79.91414025327582,30,0.0,195
0,2,0,1,87,0.0,0,60.0,329
0,2,0,1,88,0.0,0,70.0,327
0,2,0,1,89,0.0,0,100.0,329
0,2,0,1,90,84.17294369115328,38,0.0,147
0,2,0,1,91,0.0,0,100.0,329
0,2,0,1,92,0.0,0,60.0,294
0,2,0,1,93,0.0,0,100.0,355
0,2,0,1,94,0.0,0,100.0,325
0,2,0,1,95,0.0,0,100.0,298
0,2,0,1,96,0.0,0,100.0,325
0,2,0,1,97,0.0,0,30.0,163
0,2,0,1,98,0.0,0,60.0,329
0,2,0,1,99,0.0,0,80.0,203
0,2,0,2,0,0.0,0,100.0,189
0,2,0,2,1,0.0,0,100.0,189
0,2,0,2,2,0.0,0,100.0,189
0,2,0,2,3,79.91414025327582,30,0.0,195
0,2,0,2,4,52.49527598775212,2,0.0,260
0,2,0,2,5,0.0,0,100.0,189
0,2,0,2,6,0.0,0,100.0,189
0,2,0,2,7,79.91414025327582,30,0.0,195
0,2,0,2,8,60.58772849975855,30,0.0,733
0,2,0,2,9,79.91414025327582,30,0.0,195
0,2,0,2,10,0.0,0,100.0,189
0,2,0,2,11,60.58772849975855,30,0.0,733
0,2,0,2,12,52.49527598775212,2,0.0,260
0,2,0,2,13,0.0,0,100.0,189
0,2,0,2,14,0.0,0,100.0,189
0,2,0,2,15,83.2905416895859,46,0.0,243
0,2,0,2,16,0.0,0,100.0,189
0,2,0,2,17,52.49527598775212,2,0.0,260
0,2,0,2,18,83.2905416895859,46,0.0,243
0,2,0,2,19,66.8437871872029,10,0.0,245
0,2,0,2,20,79.91414025327582,30,0.0,195
0,2,0,2,21,0.0,0,100.0,189
0,2,0,2,22,79.91414025327582,30,0.0,195
0,2,0,2,23,0.0,0,100.0,189
0,2,0,2,24,79.91414025327582,30,0.0,195
0,2,0,2,25,0.0,0,100.0,189
0,2,0,2,26,0.0,0,100.0,189
0,2,0,2,27,0.0,0,100.0,189
0,2,0,2,28,76.46503830360567,22,0.0,195
0,2,0,2,29,0.0,0,100.0,189
0,2,0,2,30,71.67986479803766,14,0.0,195
0,2,0,2,31,0.0,0,100.0,189
0,2,0,2,32,0.0,0,100.0,189
0,2,0,2,33,52.49527598775212,2,0.0,260
0,2,0,2,34,79.91414025327582,30,0.0,195
0,2,0,2,35,0.0,0,100.0,329
0,2,0,2,36,0.0,0,100.0,329
0,2,0,2,37,0.0,0,60.0,329
0,2,0,2,38,0.0,0,100.0,407
0,2,0,2,39,90.12694452321487,62,0.0,147
0,2,0,2,40,0.0,0,100.0,357
0,2,0,2,41,0.0,0,100.0,719
0,2,0,2,42,0.0,0,60.0,329
0,2,0,2,43,92.98242671270518,88,0.0,195
0,2,0,2,44,0.0,0,80.0,322
0,2,0,2,45,0.0,0,100.0,329
0,2,0,2,46,79.91414025327582,30,0.0,195
0,2,0,2,47,79.91414025327582,30,0.0,195
0,2,0,2,48,0.0,0,100.0,330
0,2,0,2,49,0.0,0,50.0,256
0,2,0,2,50,89.38503170973725,68,0.0,204
0,2,0,2,51,0.0,0,20.0,249
0,2,0,2,52,0.0,0,10.0,407
0,2,0,2,53,86.61614889979455,48,0.0,158
0,2,0,2,54,0.0,0,100.0,360
0,2,0,2,55,0.0,0,100.0,329
0,2,0,2,56,69.10408502767969,14,0.0,280
0,2,0,2,57,0.0,0,100.0,329
0,2,0,2,58,0.0,0,60.0,162
0,2,0,2,59,0.0,0,100.0,329
0,2,0,2,60,0.0,0,60.0,360
0,2,0,2,61,0.0,0,100.0,322
0,2,0,2,62,0.0,0,100.0,325
0,2,0,2,63,0.0,0,100.0,409
0,2,0,2,64,0.0,0,100.0,329
0,2,0,2,65,89.834830294651,64,0.0,168
0,2,0,2,66,0.0,0,50.0,255
0,2,0,2,67,0.0,0,50.0,239
0,2,0,2,68,0.0,0,80.0,322
0,2,0,2,69,0.0,0,20.0,699
0,2,0,2,70,0.0,0,100.0,340
0,2,0,2,71,0.0,0,100.0,326
0,2,0,2,72,0.0,0,100.0,329
0,2,0,2,73,66.64010904984659,8,0.0,177
0,2,0,2,74,0.0,0,50.0,368
0,2,0,2,75,0.0,0,100.0,405
0,2,0,2,76,0.0,0,80.0,329
0,2,0,2,77,0.0,0,60.0,355
0,2,0,2,78,0.0,0,100.0,329
0,2,0,2,79,0.0,0,100.0,360
0,2,0,2,80,79.91414025327582,30,0.0,195
0,2,0,2,81,84.94673569443566,42,0.0,160
0,2,0,2,82,0.0,0,10.0,303
0,2,0,2,83,0.0,0,100.0,360
0,2,0,2,84,68.29714537199311,10,0.0,195
0,2,0,2,85,0.0,0,100.0,322
0,2,0,2,86,0.0,0,90.0,325
0,2,0,2,87,0.0,0,100.0,229
0,2,0,2,88,0.0,0,100.0,329
0,2,0,2,89,0.0,0,100.0,253
0,2,0,2,90,0.0,0,100.0,329
0,2,0,2,91,88.8268442171078,80,0.0,278
0,2,0,2,92,71.72520779228878,16,0.0,239
0,2,0,2,93,0.0,0,100.0,329
0,2,0,2,94,0.0,0,100.0,360
0,2,0,2,95,0.0,0,70.0,168
0,2,0,2,96,0.0,0,80.0,256
0,2,0,2,97,0.0,0,100.0,349
0,2,0,2,98,0.0,0,60.0,329
0,2,0,2,99,0.0,0,100.0,371
0,2,0,3,0,90.12694452321487,62,0.0,147
0,2,0,3,1,0.0,0,100.0,189
0,2,0,3,2,0.0,0,100.0,189
0,2,0,3,3,0.0,0,100.0,189
0,2,0,3,4,66.8437871872029,10,0.0,245
0,2,0,3,5,0.0,0,100.0,189
0,2,0,3,6,0.0,0,100.0,189
0,2,0,3,7,0.0,0,100.0,189
0,2,0,3,8,52.49527598775212,2,0.0,260
0,2,0,3,9,79.91414025327582,30,0.0,195
0,2,0,3,10,66.8437871872029,10,0.0,245
0,2,0,3,11,71.67986479803766,14,0.0,195
0,2,0,3,12,66.8437871872029,10,0.0,245
0,2,0,3,13,79.91414025327582,30,0.0,195
0,2,0,3,14,79.91414025327582,30,0.0,195
0,2,0,3,15,83.2905416895859,46,0.0,243
0,2,0,3,16,66.64010904984659,8,0.0,177
