evo,enemy,individual,round,f,p,e,t
0,2,0,0,86.26235268152698,46.0,0.0,153
0,2,0,0,86.26235268152698,46.0,0.0,153
0,2,0,0,86.26235268152698,46.0,0.0,153
0,2,0,0,86.26235268152698,46.0,0.0,153
0,2,0,0,86.26235268152698,46.0,0.0,153
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,1,1,92.57641531783392,76.0,0.0,151
0,2,2,2,92.87698480137234,78.0,0.0,152
0,2,2,2,92.87698480137234,78.0,0.0,152
0,2,2,2,92.87698480137234,78.0,0.0,152
0,2,2,2,92.87698480137234,78.0,0.0,152
0,2,2,2,92.87698480137234,78.0,0.0,152
0,2,3,3,92.54334611374885,76.0,0.0,152
0,2,3,3,92.54334611374885,76.0,0.0,152
0,2,3,3,92.54334611374885,76.0,0.0,152
0,2,3,3,92.54334611374885,76.0,0.0,152
0,2,3,3,92.54334611374885,76.0,0.0,152
0,2,4,4,92.1779629319777,76.0,0.0,163
0,2,4,4,92.1779629319777,76.0,0.0,163
0,2,4,4,92.1779629319777,76.0,0.0,163
0,2,4,4,92.1779629319777,76.0,0.0,163
0,2,4,4,92.1779629319777,76.0,0.0,163
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,5,5,92.57641531783392,76.0,0.0,151
0,2,6,6,95.58119428213078,96.0,0.0,152
0,2,6,6,95.58119428213078,96.0,0.0,152
0,2,6,6,95.58119428213078,96.0,0.0,152
0,2,6,6,95.58119428213078,96.0,0.0,152
0,2,6,6,95.58119428213078,96.0,0.0,152
0,2,7,7,92.57641531783392,76.0,0.0,151
0,2,7,7,92.57641531783392,76.0,0.0,151
0,2,7,7,92.57641531783392,76.0,0.0,151
0,2,7,7,92.57641531783392,76.0,0.0,151
0,2,7,7,92.57641531783392,76.0,0.0,151
0,2,8,8,92.57641531783392,76.0,0.0,151
0,2,8,8,92.57641531783392,76.0,0.0,151
0,2,8,8,92.57641531783392,76.0,0.0,151
0,2,8,8,92.57641531783392,76.0,0.0,151
0,2,8,8,92.57641531783392,76.0,0.0,151
0,2,9,9,92.87698480137234,78.0,0.0,152
0,2,9,9,92.87698480137234,78.0,0.0,152
0,2,9,9,92.87698480137234,78.0,0.0,152
0,2,9,9,92.87698480137234,78.0,0.0,152
0,2,9,9,92.87698480137234,78.0,0.0,152
0,5,0,0,5.8958512687360844,90.40000000000009,90.0,1000
0,5,0,0,5.8958512687360844,90.40000000000009,90.0,1000
0,5,0,0,5.8958512687360844,90.40000000000009,90.0,1000
0,5,0,0,0.0,0.0,90.0,662
0,5,0,0,0.0,0.0,90.0,715
0,5,1,1,82.62582868154776,76.00000000000023,0.0,425
0,5,1,1,82.62582868154776,76.00000000000023,0.0,425
0,5,1,1,82.62582868154776,76.00000000000023,0.0,425
0,5,1,1,82.62582868154776,76.00000000000023,0.0,425
0,5,1,1,81.84540057877558,71.20000000000027,0.0,425
0,5,2,2,92.19586873330064,86.20000000000013,0.0,210
0,5,2,2,91.06551129076668,82.00000000000017,0.0,224
0,5,2,2,92.10578346198973,85.60000000000014,0.0,210
0,5,2,2,90.78198551491656,80.20000000000019,0.0,224
0,5,2,2,90.78198551491656,80.20000000000019,0.0,224
0,5,3,3,89.74042837299787,83.80000000000015,0.0,269
0,5,3,3,90.47280634791016,88.00000000000011,0.0,266
0,5,3,3,86.14938755742905,77.80000000000021,0.0,341
0,5,3,3,88.38835741158526,82.60000000000016,0.0,301
0,5,3,3,90.8378865592507,85.60000000000014,0.0,246
0,5,4,4,75.88299767349886,28.000000000000256,0.0,295
0,5,4,4,74.39064788625211,24.400000000000247,0.0,295
0,5,4,4,80.27491606410192,38.20000000000028,0.0,268
0,5,4,4,71.16841293995364,17.80000000000023,0.0,292
0,5,4,4,80.17323133784416,38.20000000000028,0.0,271
0,5,5,5,93.0996082113368,83.80000000000015,0.0,173
0,5,5,5,91.06517802179364,74.20000000000024,0.0,187
0,5,5,5,92.2837548458639,81.40000000000018,0.0,186
0,5,5,5,91.76779289540518,78.4000000000002,0.0,187
0,5,5,5,93.95998676863081,86.80000000000013,0.0,161
0,5,6,6,77.90768773918552,31.000000000000263,0.0,268
0,5,6,6,78.33430328954952,34.60000000000027,0.0,292
0,5,6,6,79.27629701907472,37.60000000000028,0.0,292
0,5,6,6,78.12227720642878,31.600000000000264,0.0,268
0,5,6,6,77.73451316545211,32.80000000000027,0.0,292
0,5,7,7,92.65243262576432,91.00000000000009,0.0,217
0,5,7,7,85.57480334759434,80.20000000000019,0.0,366
0,5,7,7,81.78822886835499,68.8000000000003,0.0,416
0,5,7,7,92.89269538587078,92.20000000000007,0.0,215
0,5,7,7,81.5258978673103,70.00000000000028,0.0,428
0,5,8,8,82.62582868154776,76.00000000000023,0.0,425
0,5,8,8,82.24110563750519,73.60000000000025,0.0,425
0,5,8,8,82.338290103221,74.20000000000024,0.0,425
0,5,8,8,82.43479877458259,74.80000000000024,0.0,425
0,5,8,8,81.74467799873602,70.60000000000028,0.0,425
0,5,9,9,93.20479238630907,79.6000000000002,0.0,150
0,5,9,9,0.0,0.0,20.0,805
0,5,9,9,0.0,0.0,10.0,856
0,5,9,9,37.36902430681963,2.200000000000234,0.0,867
0,5,9,9,0.0,0.0,10.0,858
0,8,0,0,88.64093533150827,76.60000000000022,0.0,268
0,8,0,0,88.64093533150827,76.60000000000022,0.0,268
0,8,0,0,88.64093533150827,76.60000000000022,0.0,268
0,8,0,0,88.64093533150827,76.60000000000022,0.0,268
0,8,0,0,88.64093533150827,76.60000000000022,0.0,268
0,8,1,1,70.94842864759318,22.600000000000243,0.0,374
0,8,1,1,70.94842864759318,22.600000000000243,0.0,374
0,8,1,1,70.94842864759318,22.600000000000243,0.0,374
0,8,1,1,70.94842864759318,22.600000000000243,0.0,374
0,8,1,1,70.94842864759318,22.600000000000243,0.0,374
0,8,2,2,81.4493491145532,47.2000000000003,0.0,305
0,8,2,2,81.4493491145532,47.2000000000003,0.0,305
0,8,2,2,81.4493491145532,47.2000000000003,0.0,305
0,8,2,2,81.4493491145532,47.2000000000003,0.0,305
0,8,2,2,81.4493491145532,47.2000000000003,0.0,305
0,8,3,3,0.0,12.40000000000023,100.0,1000
0,8,3,3,0.0,12.40000000000023,100.0,1000
0,8,3,3,0.0,12.40000000000023,100.0,1000
0,8,3,3,0.0,12.40000000000023,100.0,1000
0,8,3,3,0.0,12.40000000000023,100.0,1000
0,8,4,4,0.0,0.0,30.0,711
0,8,4,4,0.0,0.0,30.0,711
0,8,4,4,0.0,0.0,30.0,711
0,8,4,4,0.0,0.0,30.0,711
0,8,4,4,0.0,0.0,30.0,711
0,8,5,5,0.0,0.0,80.0,449
0,8,5,5,0.0,0.0,80.0,449
0,8,5,5,0.0,0.0,80.0,449
0,8,5,5,0.0,0.0,80.0,449
0,8,5,5,0.0,0.0,80.0,449
0,8,6,6,0.0,0.0,90.0,381
0,8,6,6,0.0,0.0,90.0,381
0,8,6,6,0.0,0.0,90.0,381
0,8,6,6,0.0,0.0,90.0,381
0,8,6,6,0.0,0.0,90.0,381
0,8,7,7,85.06102468271455,74.80000000000024,0.0,357
0,8,7,7,85.06102468271455,74.80000000000024,0.0,357
0,8,7,7,85.06102468271455,74.80000000000024,0.0,357
0,8,7,7,85.06102468271455,74.80000000000024,0.0,357
0,8,7,7,85.06102468271455,74.80000000000024,0.0,357
0,8,8,8,83.48948525963164,74.80000000000024,0.0,398
0,8,8,8,83.48948525963164,74.80000000000024,0.0,398
0,8,8,8,83.48948525963164,74.80000000000024,0.0,398
0,8,8,8,83.48948525963164,74.80000000000024,0.0,398
0,8,8,8,83.48948525963164,74.80000000000024,0.0,398
0,8,9,9,83.77761661831272,76.60000000000022,0.0,398
0,8,9,9,83.77761661831272,76.60000000000022,0.0,398
0,8,9,9,83.77761661831272,76.60000000000022,0.0,398
0,8,9,9,83.77761661831272,76.60000000000022,0.0,398
0,8,9,9,83.77761661831272,76.60000000000022,0.0,398
1,2,0,0,87.84855285332095,74.0,0.0,278
1,2,0,0,87.84855285332095,74.0,0.0,278
1,2,0,0,87.84855285332095,74.0,0.0,278
1,2,0,0,87.84855285332095,74.0,0.0,278
1,2,0,0,87.84855285332095,74.0,0.0,278
1,2,1,1,87.84855285332095,74.0,0.0,278
1,2,1,1,87.84855285332095,74.0,0.0,278
1,2,1,1,87.84855285332095,74.0,0.0,278
1,2,1,1,87.84855285332095,74.0,0.0,278
1,2,1,1,87.84855285332095,74.0,0.0,278
1,2,2,2,0.0,0.0,100.0,326
1,2,2,2,0.0,0.0,100.0,326
1,2,2,2,0.0,0.0,100.0,326
1,2,2,2,0.0,0.0,100.0,326
1,2,2,2,0.0,0.0,100.0,326
1,2,3,3,90.92524115476769,82.0,0.0,228
1,2,3,3,90.92524115476769,82.0,0.0,228
1,2,3,3,90.92524115476769,82.0,0.0,228
1,2,3,3,90.92524115476769,82.0,0.0,228
1,2,3,3,90.92524115476769,82.0,0.0,228
1,2,4,4,92.87698480137234,78.0,0.0,152
1,2,4,4,92.87698480137234,78.0,0.0,152
1,2,4,4,92.87698480137234,78.0,0.0,152
1,2,4,4,92.87698480137234,78.0,0.0,152
1,2,4,4,92.87698480137234,78.0,0.0,152
1,2,5,5,92.57641531783392,76.0,0.0,151
1,2,5,5,92.57641531783392,76.0,0.0,151
1,2,5,5,92.57641531783392,76.0,0.0,151
1,2,5,5,92.57641531783392,76.0,0.0,151
1,2,5,5,92.57641531783392,76.0,0.0,151
1,2,6,6,92.57641531783392,76.0,0.0,151
1,2,6,6,92.57641531783392,76.0,0.0,151
1,2,6,6,92.57641531783392,76.0,0.0,151
1,2,6,6,92.57641531783392,76.0,0.0,151
1,2,6,6,92.57641531783392,76.0,0.0,151
1,2,7,7,95.61467003181819,96.0,0.0,151
1,2,7,7,95.61467003181819,96.0,0.0,151
1,2,7,7,95.61467003181819,96.0,0.0,151
1,2,7,7,95.61467003181819,96.0,0.0,151
1,2,7,7,95.61467003181819,96.0,0.0,151
1,2,8,8,0.0,0.0,70.0,326
1,2,8,8,0.0,0.0,70.0,326
1,2,8,8,0.0,0.0,70.0,326
1,2,8,8,0.0,0.0,70.0,326
1,2,8,8,0.0,0.0,70.0,326
1,2,9,9,89.54741335423435,80.0,0.0,258
1,2,9,9,89.54741335423435,80.0,0.0,258
1,2,9,9,89.54741335423435,80.0,0.0,258
1,2,9,9,89.54741335423435,80.0,0.0,258
1,2,9,9,89.54741335423435,80.0,0.0,258
1,5,0,0,89.33681416073883,74.80000000000024,0.0,240
1,5,0,0,91.4028460698349,74.20000000000024,0.0,177
1,5,0,0,85.43145303471337,55.00000000000032,0.0,243
1,5,0,0,91.44921252320768,82.00000000000017,0.0,213
1,5,0,0,90.50206274952521,82.00000000000017,0.0,240
1,5,1,1,83.39210883967496,74.20000000000024,0.0,398
1,5,1,1,90.31618178285753,83.80000000000015,0.0,253
1,5,1,1,82.22703608387981,70.00000000000028,0.0,410
1,5,1,1,83.87236012482765,77.20000000000022,0.0,398
1,5,1,1,84.93280737898954,77.80000000000021,0.0,373
1,5,2,2,91.4034485808699,82.60000000000016,0.0,217
1,5,2,2,93.41390109952404,88.60000000000011,0.0,185
1,5,2,2,81.39900219933749,62.80000000000034,0.0,398
1,5,2,2,88.01060115852057,75.40000000000023,0.0,280
1,5,2,2,93.05466756422632,89.2000000000001,0.0,198
1,5,3,3,0.0,0.0,90.0,624
1,5,3,3,0.0,0.0,90.0,547
1,5,3,3,0.0,0.0,90.0,547
1,5,3,3,0.0,0.0,90.0,573
1,5,3,3,0.0,0.0,90.0,573
1,5,4,4,82.338290103221,74.20000000000024,0.0,425
1,5,4,4,81.94539346949395,71.80000000000027,0.0,425
1,5,4,4,82.338290103221,74.20000000000024,0.0,425
1,5,4,4,82.24110563750519,73.60000000000025,0.0,425
1,5,4,4,81.94539346949395,71.80000000000027,0.0,425
1,5,5,5,85.04492390827932,57.400000000000325,0.0,269
1,5,5,5,84.91775038137831,56.800000000000324,0.0,269
1,5,5,5,85.54230726126535,59.80000000000033,0.0,269
1,5,5,5,84.65985261115475,55.60000000000032,0.0,269
1,5,5,5,83.99324492133506,52.600000000000314,0.0,269
1,5,6,6,83.49588952726249,71.80000000000027,0.0,385
1,5,6,6,93.41743820925979,89.8000000000001,0.0,190
1,5,6,6,91.3179709920866,79.0000000000002,0.0,203
1,5,6,6,91.41472010371282,79.6000000000002,0.0,203
1,5,6,6,83.79550454408815,73.60000000000025,0.0,385
1,5,7,7,5.327640717919492,46.0000000000003,90.0,1000
1,5,7,7,5.284990708445218,43.60000000000029,90.0,1000
1,5,7,7,5.317158820646242,45.4000000000003,90.0,1000
1,5,7,7,5.407553334493374,50.80000000000031,90.0,1000
1,5,7,7,5.327640717919492,46.0000000000003,90.0,1000
1,5,8,8,83.23135869942205,76.60000000000022,0.0,412
1,5,8,8,83.91798362594608,80.80000000000018,0.0,411
1,5,8,8,83.45857537517487,77.80000000000021,0.0,411
1,5,8,8,83.4193554740948,77.80000000000021,0.0,412
1,5,8,8,83.64414482646156,79.0000000000002,0.0,411
1,5,9,9,81.94539346949395,71.80000000000027,0.0,425
1,5,9,9,82.43479877458259,74.80000000000024,0.0,425
1,5,9,9,81.74467799873602,70.60000000000028,0.0,425
1,5,9,9,82.24110563750519,73.60000000000025,0.0,425
1,5,9,9,82.43479877458259,74.80000000000024,0.0,425
1,8,0,0,84.56097346819888,71.80000000000027,0.0,357
1,8,0,0,84.56097346819888,71.80000000000027,0.0,357
1,8,0,0,84.56097346819888,71.80000000000027,0.0,357
1,8,0,0,84.56097346819888,71.80000000000027,0.0,357
1,8,0,0,84.56097346819888,71.80000000000027,0.0,357
1,8,1,1,81.59720902847545,47.8000000000003,0.0,305
1,8,1,1,81.59720902847545,47.8000000000003,0.0,305
1,8,1,1,81.59720902847545,47.8000000000003,0.0,305
1,8,1,1,81.59720902847545,47.8000000000003,0.0,305
1,8,1,1,81.59720902847545,47.8000000000003,0.0,305
1,8,2,2,72.18504862433186,26.20000000000025,0.0,383
1,8,2,2,72.18504862433186,26.20000000000025,0.0,383
1,8,2,2,72.18504862433186,26.20000000000025,0.0,383
1,8,2,2,72.18504862433186,26.20000000000025,0.0,383
1,8,2,2,72.18504862433186,26.20000000000025,0.0,383
1,8,3,3,70.88087938968802,22.600000000000243,0.0,376
1,8,3,3,70.88087938968802,22.600000000000243,0.0,376
1,8,3,3,70.88087938968802,22.600000000000243,0.0,376
1,8,3,3,70.88087938968802,22.600000000000243,0.0,376
1,8,3,3,70.88087938968802,22.600000000000243,0.0,376
1,8,4,4,85.96730528824031,68.8000000000003,0.0,305
1,8,4,4,85.96730528824031,68.8000000000003,0.0,305
1,8,4,4,85.96730528824031,68.8000000000003,0.0,305
1,8,4,4,85.96730528824031,68.8000000000003,0.0,305
1,8,4,4,85.96730528824031,68.8000000000003,0.0,305
1,8,5,5,81.31096349355191,45.4000000000003,0.0,296
1,8,5,5,81.31096349355191,45.4000000000003,0.0,296
1,8,5,5,81.31096349355191,45.4000000000003,0.0,296
1,8,5,5,81.31096349355191,45.4000000000003,0.0,296
1,8,5,5,81.31096349355191,45.4000000000003,0.0,296
1,8,6,6,68.51941709081478,19.600000000000236,0.0,403
1,8,6,6,68.51941709081478,19.600000000000236,0.0,403
1,8,6,6,68.51941709081478,19.600000000000236,0.0,403
1,8,6,6,68.51941709081478,19.600000000000236,0.0,403
1,8,6,6,68.51941709081478,19.600000000000236,0.0,403
1,8,7,7,0.0,0.0,50.0,475
1,8,7,7,0.0,0.0,50.0,475
1,8,7,7,0.0,0.0,50.0,475
1,8,7,7,0.0,0.0,50.0,475
1,8,7,7,0.0,0.0,50.0,475
1,8,8,8,0.0,0.0,70.0,462
1,8,8,8,0.0,0.0,70.0,462
1,8,8,8,0.0,0.0,70.0,462
1,8,8,8,0.0,0.0,70.0,462
1,8,8,8,0.0,0.0,70.0,462
1,8,9,9,84.73619281551353,62.20000000000034,0.0,305
1,8,9,9,84.73619281551353,62.20000000000034,0.0,305
1,8,9,9,84.73619281551353,62.20000000000034,0.0,305
1,8,9,9,84.73619281551353,62.20000000000034,0.0,305
1,8,9,9,84.73619281551353,62.20000000000034,0.0,305
